order_id,customer_id,city,region,service_type,priority,created_at,scheduled_start,scheduled_end,technician_id,technician_skill,technician_load,distance_km,previous_reschedules,customer_history_no_show,rain_level,traffic_level,backlog_region,sla_hours_remaining,estimated_duration_minutes,risk_delay_label,risk_no_show_label,risk_reschedule_label
ORD-900001,CUST-57021,Sao Paulo,south,repair,high,2026-03-20T08:00:00Z,2026-03-21T10:00:00Z,2026-03-21T12:00:00Z,TECH-014,repair,9,28.4,2,1,0.54,0.83,44,5.2,120,1,0,1
ORD-900002,CUST-66213,Curitiba,south,maintenance,medium,2026-03-20T10:10:00Z,2026-03-21T15:00:00Z,2026-03-21T17:30:00Z,TECH-061,maintenance,5,11.2,0,0,0.21,0.47,30,16.1,150,0,0,0
ORD-900003,CUST-78311,Rio de Janeiro,east,installation,low,2026-03-20T06:30:00Z,2026-03-21T09:00:00Z,2026-03-21T11:00:00Z,TECH-045,installation,6,13.7,1,0,0.36,0.69,35,20.4,110,0,0,0
ORD-900004,CUST-91553,Salvador,north,emergency,critical,2026-03-21T01:05:00Z,2026-03-21T05:00:00Z,2026-03-21T06:30:00Z,TECH-008,emergency,10,34.1,3,1,0.62,0.88,58,2.4,90,1,1,1
ORD-900005,CUST-42015,Belo Horizonte,central,inspection,medium,2026-03-20T12:20:00Z,2026-03-21T14:00:00Z,2026-03-21T15:30:00Z,TECH-072,inspection,4,8.5,0,0,0.19,0.31,24,26.3,80,0,0,0
ORD-900006,CUST-37721,Recife,north,repair,high,2026-03-20T16:45:00Z,2026-03-21T13:30:00Z,2026-03-21T16:00:00Z,TECH-097,repair,8,22.9,2,2,0.57,0.73,49,6.8,145,1,1,1
ORD-900007,CUST-18442,Brasilia,central,maintenance,high,2026-03-20T11:00:00Z,2026-03-21T16:15:00Z,2026-03-21T18:15:00Z,TECH-020,maintenance,7,16.4,1,0,0.33,0.52,32,10.2,120,0,0,1
ORD-900008,CUST-24581,Porto Alegre,south,installation,medium,2026-03-20T14:30:00Z,2026-03-21T17:00:00Z,2026-03-21T19:00:00Z,TECH-083,installation,6,14.9,1,0,0.28,0.48,29,12.7,115,0,0,0
ORD-900009,CUST-99318,Sao Paulo,south,repair,critical,2026-03-21T02:00:00Z,2026-03-21T07:00:00Z,2026-03-21T09:30:00Z,TECH-003,repair,11,41.3,4,2,0.71,0.91,67,1.8,160,1,1,1
ORD-900010,CUST-64320,Rio de Janeiro,east,inspection,low,2026-03-20T09:40:00Z,2026-03-21T11:20:00Z,2026-03-21T12:50:00Z,TECH-054,inspection,3,6.2,0,0,0.12,0.24,18,30.0,90,0,0,0
